	Sentence	Argument
0	 Should students be taught to compete or to cooperate ?	0
1	 It is always said that competition can effectively promote the development of economy .	0
2	 In order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers .	0
3	 However , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life .	0
4	 From this point of view , I firmly believe that we should attach more importance to cooperation during primary education .	1
5	 First of all , through cooperation , children can learn about interpersonal skills which are significant in the future life of all students .	1
6	 What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others .	1
7	 During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred .	1
8	 All of these skills help them to get on well with other people and will benefit them for the whole life .	1
9	 On the other hand , the significance of competition is that how to become more excellence to gain the victory .	1
10	 Hence it is always said that competition makes the society more effective .	1
11	 However , when we consider about the question that how to win the game , we always find that we need the cooperation .	1
12	 The greater our goal is , the more competition we need .	0
13	 Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care .	1
14	 The winner is the athlete but the success belongs to the whole team .	0
15	 Therefore without the cooperation , there would be no victory of competition .	1
16	 Consequently , no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that a more cooperative attitudes towards life is more profitable in one ' s success .	1
17	 More people are migrating to other countries than ever before	0
18	 The last 50 years have seen an increasing number of immigrants to other countries .	0
19	 People moved due to a number of reasons , namely better educations or higher salary jobs .	0
20	 Some people thought that they should follow the local customs in order to integrate into their adopted countries ' cultures .	0
21	 However I strongly believe that they are able to sustain their cultural identities and doing so help they keep their origin values .	1
22	 Firstly , maintaining one ' s cultural identity is a key important rule to help individuals emerge in the new multicultural environments .	1
23	 Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues .	1
24	 Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values .	1
25	 These feedbacks , in turn , help raise one ' s pride of their cultures and help people understand each other more .	1
26	 Thus this makes it clear that sustaining the cultural values of immigrants is paramount essential .	1
27	 Secondly , it is crucial to keep one ' s identity for they need a connection back to their country as well as teach their children their value of origin .	1
28	 For instance , children immigrated to a new country will face social troubles in school with new friends .	1
29	 In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home .	1
30	 Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism .	1
31	 Hence , it is clear that keeping the cultural traditions in the destination countries is tremendous important .	1
32	 To conclude , although there are opposing ideas of neglecting one ' s cultural values to adapt in the new cultures .	1
33	 As far as I am concerned , sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society .	1
34	 International tourism is now more common than ever before	0
35	 The last decade has seen an increasing number of tourists traveling to visit natural wonder sights , ancient heritages and different cultures around the world .	0
36	 While some people might think that this international tourism has negative effects on the destination countries , I would contend that it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations .	1
37	 Firstly , international tourism promotes many aspects of the destination country ' s economy in order to serve various demands of tourists .	1
38	 Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores .	1
39	 These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard .	1
40	 Therefore tourism has clearly improved lives in the tourist country .	1
41	 Secondly , through tourism industry , many cultural values have been preserved and natural environments have been protected .	1
42	 For instance , in Vietnam , many cultural costumes and natural scenes , namely ' Trong Dong ' drum performance and ' Ha Long ' bay , are being encouraged to preserve and funded by the tourism ministry .	1
43	 Without this support and profit from tourism , many traditional cultures would disappear due to its low income works .	1
44	 Thus , tourism has survived many non - tangible cultural values and beauty scenes .	1
45	 To conclude , as far as I am concerned , international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries .	1
46	 In addition , the authorities should adequately support these sustainable developments .	0
47	 Will newspapers become a thing of the past ?	0
48	 The internet has been more and more popular for recent years , providing people with a huge source of information .	0
49	 As a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers .	0
50	 Some people , however , still believe that they can exist for long time ; others disagree , arguing that newspapers have lost their competitive advantage to sustain their prolonged existence .	1
51	 Personally , I am inclined to agree with the latter view for following reasons .	0
52	 First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers .	1
53	 Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime .	1
54	 As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages .	1
55	 Hence , the print media has failed to keep its important role in the provision of information .	1
56	 Another point is that , from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one .	1
57	 It is clear to recognize that the internet service is being provided at a low cost or even free in many countries .	1
58	 The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ?	0
59	 The answer , perhaps , is that hardly would rational people do so .	1
60	 For this reason , the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time .	1
61	 Last , but not least , when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down .	1
62	 This is simply the contributor to the deforestation which is happening all over the world today .	1
63	 At this point , newspapers ' production will have to face environmentalists on its way to be alive .	1
64	 In conclusion , it might be unpleasant for some advocating newspapers to witness the extinction of the type of media .	0
65	 However , this , if occurring , should be seen as a result of the ever - increasing innovations in media technology and in our modern life as a whole .	0
66	 Government budget focus , young children or university ?	0
67	 Education is the investment in our future , as Senator Bernie Sanders once pointed out , education , which fosters a civilized society , plays a significant role in a country ' s long - lasting prosperity .	0
68	 It is no wonder that governments throughout the world lay special emphasis on education development .	0
69	 As for the two integral components within the system , elementary and advanced education , there ' s no doubt that a government is supposed to offer sufficient financial support for both .	1
70	 Concerning that elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society , government should guarantee that all people have equal and convenient access to it .	1
71	 So a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development .	1
72	 In other words , if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education .	1
73	 That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance .	1
74	 The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community .	1
75	 Some may argue that universities can support themselve well by donation or invention , but this argument is invalid .	1
