	Sentence	Argument
0	 Πρέπει να διδαχθούν οι μαθητές να ανταγωνίζονται ή να συνεργάζονται ; Λέγεται πάντα ότι ο ανταγωνισμός μπορεί να προωθήσει αποτελεσματικά την ανάπτυξη της οικονομίας .	0
1	 Προκειμένου να επιβιώσουν στον ανταγωνισμό , οι εταιρείες συνεχίζουν να βελτιώνουν τα προϊόντα και τις υπηρεσίες τους , και ως αποτέλεσμα , ολόκληρη η κοινωνία ευδοκιμεί .	0
2	 Ωστόσο , όταν συζητάμε για το θέμα του ανταγωνισμού ή της συνεργασίας , αυτό που μας απασχολεί δεν είναι ολόκληρη η κοινωνία , αλλά η ανάπτυξη ολόκληρης της ζωής ενός ατόμου .	0
3	 Από αυτήν την άποψη , πιστεύω ακράδαντα ότι πρέπει να προσδώσουμε μεγαλύτερη σημασία στη συνεργασία κατά την πρωτοβάθμια εκπαίδευση .	1
4	 Πρώτα απ & # 39 ; όλα , μέσω της συνεργασίας , τα παιδιά μπορούν να μάθουν για διαπροσωπικές δεξιότητες που είναι σημαντικές στη μελλοντική ζωή όλων των μαθητών .	1
5	 Αυτό που αποκτήσαμε από την ομαδική εργασία δεν είναι μόνο πώς να επιτύχουμε τον ίδιο στόχο με τους άλλους , αλλά το πιο σημαντικό , πώς να ταιριάξουμε με τους άλλους .	1
6	 Κατά τη διάρκεια της διαδικασίας συνεργασίας , τα παιδιά μπορούν να μάθουν πώς να ακούνε τις απόψεις των άλλων , πώς να επικοινωνούν με άλλους , πώς να σκέφτονται συνολικά , και ακόμη και πώς να συμβιβαστούν με άλλα μέλη της ομάδας όταν συνέβησαν συγκρούσεις .	1
7	 Όλες αυτές οι δεξιότητες τους βοηθούν να πάνε καλά με άλλους ανθρώπους και θα τους ωφελήσουν για όλη τη ζωή .	1
8	 Από την άλλη πλευρά , η σημασία του ανταγωνισμού είναι ότι πώς να γίνετε πιο αριστεία για να κερδίσετε τη νίκη .	0
9	 Ως εκ τούτου , λέγεται πάντα ότι ο ανταγωνισμός καθιστά την κοινωνία πιο αποτελεσματική .	1
10	 Ωστόσο , όταν εξετάζουμε το ερώτημα ότι πώς να κερδίσουμε το παιχνίδι , βρίσκουμε πάντα ότι χρειαζόμαστε τη συνεργασία .	0
11	 Όσο μεγαλύτερος είναι ο στόχος μας , τόσο περισσότερος ανταγωνισμός χρειαζόμαστε .	1
